InputID,TargetID,Distance
NSKO,3154,3.80765076273
IGLN,3519,6.85904200672
IGLN,3520,7.29399323073
IGLN,2550,7.39457890958
IGLN,2551,7.39457890958
IGLN,2552,7.39457890958
IGLN,3521,7.86658866663
IGLN,3516,8.79026491353
IGLN,3511,8.97083035454
IGLN,1415,9.53628686911
IGLN,2543,9.67283915146
IGLN,2542,9.67283915146
IGLN,2541,9.67283915146
RDLO,3172,0.0912032016982
RDLO,12795,0.361635761506
RDLO,3167,0.482491475572
RDLO,3177,0.53276451083
RDLO,3173,0.588113954944
RDLO,3166,0.628679587707
RDLO,12794,0.720011961012
RDLO,3168,0.755220513493
RDLO,111,0.978405858527
RDLO,3162,1.0581672949
BMSB,3319,0.0502753418686
BMSB,3310,0.41465360242
BMSB,101,1.17225748451
BMSB,3320,1.34886901143
BMSB,3210,1.51535263553
BMSB,3314,1.58179885257
BMSB,2297,1.59376021095
BMSB,3321,1.65042649336
BMSB,3309,1.68548141787
BMSB,12681,1.69568794594
SNPN,2415,2.8019617562
SNPN,2416,2.89161769313
SNPN,2417,3.57221915386
SNPN,12797,3.72886675589
SNPN,297,3.86691599123
SNPN,120,4.07842284262
SNPN,12798,4.30494451569
SNPN,12799,4.49517742511
SNPN,2414,7.54226109885
SNPN,3507,8.99466584611
HBDB,2567,0.182220165734
HBDB,2566,0.182220165734
HBDB,3315,0.297554345961
HBDB,3211,0.376724022064
HBDB,3322,1.25115410274
HBDB,12681,1.34130182614
HBDB,1644,1.41748657447
HBDB,3314,1.52276938136
HBDB,3306,1.54539916811
HBDB,3321,1.56218135593
CBB,101,0.36663002523
CBB,3310,0.810655028603
CBB,3309,1.03793861832
CBB,3319,1.25979505294
CBB,3320,1.30798836975
CBB,3210,1.62231106
CBB,3321,1.70842166206
CBB,3314,1.74804736074
CBB,3217,1.75729666687
CBB,13076,1.82282746726
ATKO,13106,0.57880896028
ATKO,13105,1.78238907439
ATKO,2152,1.92650663443
ATKO,2153,2.20914368308
ATKO,3162,2.23458806327
ATKO,12794,2.44164264636
ATKO,3157,2.44266203403
ATKO,3160,2.46505959614
